chinese,frequency,pinyin,posseg
分裂症,3,fen1-lie4-zheng4,n
反封建,3,fan3-feng1-jian4,n
富子梅,2,fu4-zi-mei2,nr
非繳不可,3,fei1-jiao3-bu4-ke3,n
封賈詡,2,feng1-jia3-xu3,nr
防爆膜,3,fang2-bao4-mo2,nz
番荔枝,17,fan1-li4-zhi1,n
非往,3,fei1-wang3,d
非線性失,3,fei1-xian4-xing4-shi1,l
範文博,2,fan4-wen2-bo2,nr
馮錫範,208,feng2-xi1-fan4,nr
方勝球,2,fang1-sheng4-qiu2,n
發表意見,3,fa1-biao3-yi4-jian4,l
番來覆去,3,fan1-lai2-fu4-qu4,n
範世閱,2,fan4-shi4-yue4,nr
鐇,18,fan2,zg
分插,3,fen1-cha1,v
分圓單位,3,fen1-yuan2-dan1-wei4,n
尃,30,fu1,zg
蝮蛇,69,fu4-she2,n
分帶,3,fen1-dai4,n
訪蘇,3,fang3-su1,v
法斯萊,2,fa3-si1-lai2,ns
防染印花,3,fang2-ran3-yin4-hua1,n
犯難,44,fan4-nan2,n
非關稅壁壘,12,fei1-guan1-shui4-bi4-lei3,b
罰起,3,fa2-qi3,v
飛燕諾,3,fei1-yan4-nuo4,nr
方生大師,18,fang1-sheng1-da4-shi1,n
父權,61,fu4-quan2,n
防盜,74,fang2-dao4,vn
罰沒款,4,fa2-mei2-kuan3,v
俯首認罪,3,fu3-shou3-ren4-zui4,i
飯後,243,fan4-hou4,t
福州廣場,3,fu2-zhou1-guang3-chang3,ns
風帽,28,feng1-mao4,n
範德薩,8,fan4-de2-sa4,nr
佛教協會,259,fo2-jiao4-xie2-hui4,nt
馮承鈞,21,feng2-cheng2-jun1,nr
馮鐵匠,66,feng2-tie3-jiang4,nr
浮詞,3,fu2-ci2,n
髮姐,3,fa4-jie3,n
符合規律,3,fu2-he2-gui1-lv4,n
風帆,105,feng1-fan1,n
放假日,3,fang4-jia4-ri4,l
防皺,8,fang2-zhou4,n
風向針,3,feng1-xiang4-zhen1,n
非問不可,3,fei1-wen4-bu4-ke3,i
範陽高,2,fan4-yang2-gao1,nr
閥,192,fa2,n
風雨搖擺,3,feng1-yu3-yao2-bai3,i
風馬牛,3,feng1-ma3-niu2,n
放僻淫佚,3,fang4-pi4-yin2-yi4,i
放聲歌唱,3,fang4-sheng1-ge1-chang4,l
復辟事件,3,fu4-pi4-shi4-jian4,l
飛中雪,3,fei1-zhong1-xue3,nr
複雜性,307,fu4-za2-xing4,n
伏路,11,fu2-lu4,ns
負鼠,21,fu4-shu3,n
富大貴,21,fu4-da4-gui4,nr
扶起林,2,fu2-qi3-lin2,nr
伏牛,68,fu2-niu2,nr
蜚聲中外,5,fei1-sheng1-zhong1-wai4,l
費雷爾,7,fei4-lei2-er3,nr
分頻,7,fen1-pin2,d
附匪,3,fu4-fei3,n
犯罪案件,3,fan4-zui4-an4-jian4,n
附成,3,fu4-cheng2,v
訃告,41,fu4-gao4,n
返抵,14,fan3-di3,v
非讓不可,3,fei1-rang4-bu4-ke3,l
反其道而行之,39,fan3-qi2-dao4-er2-xing2-zhi1,i
負作用,13,fu4-zuo4-yong4,n
風沙暴,3,feng1-sha1-bao4,n
浮灰,2,fu2-hui1,n
焚稿,4,fen2-gao3,v
浮起,3,fu2-qi3,v
付體,5,fu4-ti3,n
飛熊入夢,3,fei1-xiong2-ru4-meng4,nz
方正不阿,3,fang1-zheng4-bu4-e1,i
風量,6,feng1-liang4,n
馮保打,2,feng2-bao3-da3,nr
飛返,7,fei1-fan3,v
蕃薯粉,3,fan1-shu3-fen3,n
方寸無主,3,fang1-cun4-wu2-zhu3,i
弗朗丹,7,fu2-lang3-dan1,nr
反常混晶,3,fan3-chang2-hun4-jing1,nz
伏在鍾,2,fu2-zai4-zhong1,nr
肺癰,3,fei4-yong1,i
風捲荷葉,3,feng1-juan3-he2-ye4,n
復返,19,fu4-fan3,v
法爾斯省,3,fa3-er3-si1-sheng3,ns
飛下去,3,fei1-xia4-qu4,v
發願,40,fa1-yuan4,v
髮髻,120,fa4-ji4,n
方先之,2,fang1-xian1-zhi1,nr
腐乳瓶,3,fu3-ru3-ping2,n
髮妻,15,fa4-qi1,n
非妳,3,fei1-ni3,z
瘋狂性,2,feng1-kuang2-xing4,n
法律事務,3,fa3-lv4-shi4-wu4,n
芳城園,3,fang1-cheng2-yuan2,n
飛蝗,120,fei1-huang2,n
凡心,21,fan2-xin1,d
非必要,3,fei1-bi4-yao4,l
弗洛倫斯,8,fu2-luo4-lun2-si1,nrt
房屋結構,3,fang2-wu1-jie2-gou4,n
發橫財,12,fa1-heng2-cai2,l
分類廣告,3,fen1-lei4-guang3-gao4,n
分工會,3,fen1-gong1-hui4,n
封死,97,feng1-si3,v
放給,3,fang4-gei3,v
防塵,21,fang2-chen2,n
褔利,3,fu4-li4,vn
覆疊空間,3,fu4-die2-kong1-jian1,n
飯時,59,fan4-shi2,t
防電劑,3,fang2-dian4-ji4,nz
佛老,3,fu2-lao3,n
分離單元,3,fen1-li2-dan1-yuan2,n
法蘭克,154,fa3-lan2-ke4,ns
釩鈍化劑,3,fan3-dun4-hua4-ji4,nz
傅沙沙,2,fu4-sha1-sha1,nr
粉骨糜身,3,fen3-gu3-mi2-shen1,vn
翻頁,3,fan1-ye4,n
防拷,3,fang2-kao3,v
腓特烈一世,21,fei2-te4-lie4-yi1-shi4,nrt
風停了,3,feng1-ting2-le,l
奉公不阿,3,feng4-gong1-bu4-e1,ns
粉筆畫,3,fen3-bi3-hua4,n
福利待遇,3,fu2-li4-dai4-yu4,n
風慄,3,feng1-li4,n
紛起,3,fen1-qi3,v
飯桶,37,fan4-tong3,n
翻譯社,3,fan1-yi4-she4,l
附耳低言,3,fu4-er3-di1-yan2,n
非營利性,17,fei1-ying2-li4-xing4,b
仿真,212,fang3-zhen1,d
犯下,139,fan4-xia4,v
放射激光,3,fang4-she4-ji1-guang1,n
防凍肽,3,fang2-dong4-tai4,n
風吹馬耳,3,feng1-chui1-ma3-er3,i
付之梨棗,3,fu4-zhi1-li2-zao3,n
肥大症,3,fei2-da4-zheng4,nz
髮型師,6,fa4-xing2-shi1,n
腐臭味,3,fu3-chou4-wei4,n
負重涉遠,3,fu4-zhong4-she4-yuan3,l
福餘衛,4,fu2-yu2-wei4,nr
腐朽性,8,fu3-xiu3-xing4,n
封信裡,7,feng1-xin4-li3,nr
廢寢忘餐,3,fei4-qin3-wang4-can1,i
防患於未,3,fang2-huan4-yu2-wei4,l
鳳山,287,feng4-shan1,nr
附件欄,3,fu4-jian4-lan2,n
福壽雙全,7,fu2-shou4-shuang1-quan2,nr
風泵,3,feng1-beng4,n
服罪,8,fu2-zui4,vn
飛來豔福,3,fei1-lai2-yan4-fu2,nr
反照率,3,fan3-zhao4-lv4,n
發酵飼料,3,fa1-jiao4-si4-liao4,n
柉,81,fan2,zg
費用率,17,fei4-yong4-lv4,n
蜂湧,3,feng1-yong3,v
伏羲陵,2,fu2-xi1-ling2,nr
腐植酸,8,fu3-zhi2-suan1,n
傅孝思,3,fu4-xiao4-si1,nr
負責幹部,3,fu4-ze2-gan4-bu4,n
敷,659,fu1,v
分散式,4,fen1-san3-shi4,n
反感,511,fan3-gan3,v
夫貴妻榮,3,fu1-gui4-qi1-rong2,i
方策,24,fang1-ce4,n
防酸,2,fang2-suan1,n
富士通,49,fu4-shi4-tong1,nr
憤憤,127,fen4-fen4,a
富克斯,8,fu4-ke4-si1,nr
弗留爾,4,fu2-liu2-er3,nr
馮向傑,2,feng2-xiang4-jie2,nr
風口,34,feng1-kou3,n
發凡起例,3,fa1-fan2-qi3-li4,l
法國農業部,2,fa3-guo2-nong2-ye4-bu4,nt
福格特,2,fu2-ge2-te4,nr
鳳翥龍蟠,3,feng4-zhu4-long2-pan2,nr
伐木區,3,fa2-mu4-qu1,n
泛萍浮梗,3,fan4-ping2-fu2-geng3,n
封閉療法,5,feng1-bi4-liao2-fa3,n
發動機,2584,fa1-dong4-ji1,n
方鴻漸,2,fang1-hong2-jian4,nr
費信著,3,fei4-xin4-zhe,nr
蕃茄汁,3,fan1-jia1-zhi1,n
分類器,2,fen1-lei4-qi4,n
菲律賓海,3,fei1-lv4-bin1-hai3,ns
方塊酥,3,fang1-kuai4-su1,n
樊維華,2,fan2-wei2-hua2,nr
福與天齊,3,fu2-yu3-tian1-qi2,nr
佛教史,26,fo2-jiao4-shi3,n
反向地,3,fan3-xiang4-de,n
發情期,15,fa1-qing2-qi1,n
服刑,107,fu2-xing2,n
佛語,3,fu2-yu3,nz
發報器,3,fa1-bao4-qi4,n
房舍,211,fang2-she4,n
風月無邊,3,feng1-yue4-wu2-bian1,i
廢立,3,fei4-li4,v
附足,3,fu4-zu2,v
房貸,159,fang2-dai4,j
富得溢,2,fu4-de2-yi4,nr
翻譯員,2,fan1-yi4-yuan2,n
副理事長,3,fu4-li3-shi4-zhang3,n
反饋作用,3,fan3-kui4-zuo4-yong4,n
防彈玻璃,10,fang2-dan4-bo1-li,n
府南,13,fu3-nan2,ns
粉彩,22,fen3-cai3,n
覆舟之戒,3,fu4-zhou1-zhi1-jie4,i
富源,9,fu4-yuan2,n
反丁烯二酸,19,fan3-ding1-xi1-er4-suan1,nz
罰分,5,fa2-fen1,n
風槍,2,feng1-qiang1,n
撫世酬物,3,fu3-shi4-chou2-wu4,nz
傅司馬孚,3,fu4-si1-ma3-fu2,nr
負一,3,fu4-yi1,b
法拉利,44,fa3-la1-li4,ns
風清揚,3,feng1-qing1-yang2,i
豐稔,17,feng1-ren3,a
扶出去,3,fu2-chu1-qu4,i
綍,99,fu2,zg
弗萊舍,112,fu2-lai2-she3,nrt
梵蒂岡教廷,2,fan4-di4-gang1-jiao4-ting2,ns
法庫縣,5,fa3-ku4-xian4,ns
封建統治,3,feng1-jian4-tong3-zhi4,l
方滋未艾,3,fang1-zi1-wei4-ai4,nr
防到,3,fang2-dao4,v
放誕,10,fang4-dan4,a
非漲不可,3,fei1-zhang3-bu4-ke3,i
飛梭,16,fei1-suo1,nz
弗裡德里克,11,fu2-li3-de2-li3-ke4,nrt
飯莊,40,fan4-zhuang1,n
紛雜,17,fen1-za2,a
反裘傷皮,3,fan3-qiu2-shang1-pi2,i
仿射,17,fang3-she4,v
焚屍,3,fen2-shi1,n
福特,145,fu2-te4,ns
負有責任,3,fu4-you3-ze2-ren4,n
富民,122,fu4-min2,n
父愛,41,fu4-ai4,n
分金宴,3,fen1-jin1-yan4,n
粉粒,3,fen3-li4,n
菲利浦斯,6,fei1-li4-pu3-si1,ns
防潮,50,fang2-chao2,n
分段,169,fen1-duan4,n
房法壽,2,fang2-fa3-shou4,nr
飛禽走獸,33,fei1-qin2-zou3-shou4,i
浮蕩,28,fu2-dang4,v
法門,215,fa3-men2,ns
扶疏,22,fu2-shu1,nr
豐贍,4,feng1-shan4,n
鳳附龍攀,3,feng4-fu4-long2-pan1,i
封氏觀,2,feng1-shi4-guan1,nr
翻開,306,fan1-kai1,v
佛利,2,fu2-li4,nz
法界,3,fa3-jie4,n
粉黛,14,fen3-dai4,n
分級機,3,fen1-ji2-ji1,n
發光閃爍,3,fa1-guang1-shan3-shuo4,i
防汙染,3,fang2-wu1-ran3,v
傅明憲,3,fu4-ming2-xian4,nr
奉為至寶,2,feng4-wei4-zhi4-bao3,i
閥,2,fa2,zg
非金屬礦,50,fei1-jin1-shu3-kuang4,nz
方正電腦,3,fang1-zheng4-dian4-nao3,n
飛剪,10,fei1-jian3,v
附加系,3,fu4-jia1-xi4,n
反過來,405,fan3-guo4-lai2,d
風潮,149,feng1-chao2,n
發炮,3,fa1-pao4,n
范陽盧,9,fan4-yang2-lu2,nr
復子明辟,3,fu4-zi-ming2-bi4,v
發酵出來,3,fa1-jiao4-chu1-lai2,n
範氏義,7,fan4-shi4-yi4,nr
髮短心長,3,fa4-duan3-xin1-zhang3,l
芙蓉洞,4,fu2-rong2-dong4,ns
方化,3,fang1-hua4,n
風電,36,feng1-dian4,n
弗拉斯,3,fu2-la1-si1,nrt
范登堡,35,fan4-deng1-bao3,nr
福鼎縣,2,fu2-ding3-xian4,nr
伏羅希,9,fu2-luo2-xi1,nr
反應爐,2,fan3-ying1-lu2,n
伏啟奏,2,fu2-qi3-zou4,nr
返老歸童,3,fan3-lao3-gui1-tong2,i
分式方程,3,fen1-shi4-fang1-cheng2,l
夫妻間,3,fu1-qi1-jian1,n
法則,522,fa3-ze2,n
福爾杜納,2,fu2-er3-du4-na4,nrt
粉筆灰,3,fen3-bi3-hui1,i
罰抄,3,fa2-chao1,v
房屋交易,3,fang2-wu1-jiao1-yi4,n
傅家寶,2,fu4-jia1-bao3,nr
肥分,3,fei2-fen1,n
肺靜脈,8,fei4-jing4-mai4,n
防潮層,3,fang2-chao2-ceng2,l
發蒙振落,3,fa1-meng2-zhen4-luo4,l
法特,8,fa3-te4,ns
分心掛腹,3,fen1-xin1-gua4-fu4,i
防範,917,fang2-fan4,v
反射式,10,fan3-she4-shi4,n
賦邏輯論,3,fu4-luo2-ji2-lun4,n
返防,3,fan3-fang2,v
芳香植物,3,fang1-xiang1-zhi2-wu4,n
