chinese,frequency,pinyin,posseg
臺鳳,3,tai2-feng4,ns
突然,14998,tu1-ran2,ad
銅包鋼,3,tong2-bao1-gang1,n
團茶,3,tuan2-cha2,n
聽診器,31,ting1-zhen3-qi4,n
唐大明,5,tang2-da4-ming2,nr
碳酸銨,4,tan4-suan1-an3,nz
脫班,3,tuo1-ban1,v
談價,3,tan2-jia4,vn
屠洪剛,3,tu2-hong2-gang1,nr
唐衛彬,2,tang2-wei4-bin1,nrfg
糖食,7,tang2-shi2,n
跳躍者,3,tiao4-yue4-zhe3,n
痛切,34,tong4-qie4,a
停勻,3,ting2-yun2,a
糖份,9,tang2-fen4,n
條理清楚,3,tiao2-li3-qing1-chu3,l
團旗,2,tuan2-qi2,n
鐵架床,3,tie3-jia4-chuang2,n
投訴者,3,tou2-su4-zhe3,n
替過,3,ti4-guo4,v
拖男帶女,3,tuo1-nan2-dai4-nv3,n
跳往,3,tiao4-wang3,v
透了心,3,tou4-le-xin1,l
塔克拉瑪幹,33,ta3-ke4-la1-ma3-gan4,ns
牠,40,ta1,zg
唐為幽,128,tang2-wei4-you1,nr
騰歡,3,teng2-huan1,v
通城,280,tong1-cheng2,ns
臺灣歌手,3,tai2-wan1-ge1-shou3,nt
跳越,3,tiao4-yue4,v
唐為振,2,tang2-wei4-zhen4,nr
鐵閃鋅礦,3,tie3-shan3-xin1-kuang4,n
投壺電笑,3,tou2-hu2-dian4-xiao4,i
童大煥,2,tong2-da4-huan4,nr
投鼠忌器,52,tou2-shu3-ji4-qi4,n
踢出去,3,ti1-chu1-qu4,v
同宗,78,tong2-zong1,nr
太乙山,2,tai4-yi3-shan1,nr
太阿,5,tai4-e1,ns
坦迪,3,tan3-di2,nz
田單舉,3,tian2-dan1-ju3,nr
儻,19,tang3,c
鐵西,3,tie3-xi1,n
天然免疫,3,tian1-ran2-mian3-yi4,l
鐵耗子,3,tie3-hao4-zi,n
譚宗亮,5,tan2-zong1-liang4,nr
頹垣敗壁,3,tui2-yuan2-bai4-bi4,l
衕,4,tong4,zg
特麗瓏,3,te4-li4-long2,nr
天空海闊,3,tian1-kong1-hai3-kuo4,i
銅塊,3,tong2-kuai4,n
套出,3,tao4-chu1,v
同德殿,2,tong2-de2-dian4,nr
湯燒火熱,3,tang1-shao1-huo3-re4,n
田聞言,3,tian2-wen2-yan2,nr
痛毆,5,tong4-ou1,v
偷,2578,tou1,v
天光雲影,2,tian1-guang1-yun2-ying3,i
塗色,5,tu2-se4,n
鐵錨,66,tie3-mao2,n
田秉毅,266,tian2-bing3-yi4,nr
天假因緣,3,tian1-jia3-yin1-yuan2,i
堂伯叔,3,tang2-bai3-shu1,n
臺灣電力,3,tai2-wan1-dian4-li4,nz
天安門國旗護衛隊,12,tian1-an1-men2-guo2-qi2-hu4-wei4-dui4,nt
鐵軌,146,tie3-gui3,n
同文同種,3,tong2-wen2-tong2-zhong3,n
塔赫塔,4,ta3-he4-ta3,nr
塔裡亞,2,ta3-li3-ya4,ns
他鄉遇故知,19,ta1-xiang1-yu4-gu4-zhi1,l
偷過去,3,tou1-guo4-qu4,i
提鞋,3,ti2-xie2,v
天路,7,tian1-lu4,n
天鷹,238,tian1-ying1,nz
條,12583,tiao2,n
體驗式,3,ti3-yan4-shi4,n
談清,3,tan2-qing1,nr
通暢,153,tong1-chang4,a
頭型,25,tou2-xing2,n
酮,470,tong2,g
圖列,3,tu2-lie4,n
臺北,631,tai2-bei3,ns
瞳仁,24,tong2-ren2,n
貪黑,3,tan1-hei1,v
坦噶尼喀,47,tan3-ga2-ni2-ka1,n
同型發酵,3,tong2-xing2-fa1-jiao4,v
吐吐,3,tu3-tu3,v
通明透亮,3,tong1-ming2-tou4-liang4,z
同安,9,tong2-an1,nz
窕,51,tiao3,x
袒胸露背,2,tan3-xiong1-lu4-bei4,l
塔式,19,ta3-shi4,nz
唐三省,2,tang2-san1-xing3,ns
談何容易,236,tan2-he2-rong2-yi4,l
偷東摸西,3,tou1-dong1-mo1-xi1,i
同時並舉,3,tong2-shi2-bing4-ju3,i
土地特性,3,tu3-di4-te4-xing4,n
提箱,4,ti2-xiang1,n
腿短,3,tui3-duan3,n
踢打,21,ti1-da3,v
提名道姓,3,ti2-ming2-dao4-xing4,i
頭伏,3,tou2-fu2,v
通上徹下,3,tong1-shang4-che4-xia4,i
鐵甲威龍,3,tie3-jia3-wei1-long2,nr
臺階式,7,tai2-jie1-shi4,n
推廣站,5,tui1-guang3-zhan4,nz
同聚物,3,tong2-ju4-wu4,n
通,9628,tong1,v
