chinese,frequency,pinyin,posseg
殊屬不易,3,shu1-shu3-bu4-yi4,l
施針,3,shi1-zhen1,nrt
薩林斯,2,sa4-lin2-si1,nr
身歷其境,6,shen1-li4-qi2-jing4,i
賽會,82,sai4-hui4,nz
水槍,28,shui3-qiang1,n
實地考察,3,shi2-de-kao3-cha2,n
三枚,442,san1-mei2,m
水綠色,3,shui3-lv4-se4,n
商之引,2,shang1-zhi1-yin3,nr
邵陽縣,9,shao4-yang2-xian4,ns
束幹茅,2,shu4-gan4-mao2,i
噬箘體,3,shi4-jun4-ti3,n
十分之一,149,shi2-fen1-zhi1-yi1,m
繩厥祖武,3,sheng2-jue2-zu3-wu3,n
庶幾,47,shu4-ji3,c
雙棒兒,3,shuang1-bang4-er2,nr
沙喉,3,sha1-hou2,n
三百餘年,12,san1-bai3-yu2-nian2,m
塞尼山,2,sai1-ni2-shan1,ns
施術者,10,shi1-shu4-zhe3,n
涘,695,si4,zg
三四名,12,san1-si4-ming2,m
蔘茸,4,shen1-rong1,n
砂輪機,3,sha1-lun2-ji1,n
十一面,3,shi2-yi1-mian4,m
水敬洪,83,shui3-jing4-hong2,nr
首席記者,3,shou3-xi2-ji4-zhe3,n
水平舵,3,shui3-ping2-duo4,n
刷下,3,shua1-xia4,v
山高月小,3,shan1-gao1-yue4-xiao3,nr
雙胞,3,shuang1-bao1,n
殊塗同致,3,shu1-tu2-tong2-zhi4,i
舒口氣,2,shu1-kou3-qi4,n
釋小虎,3,shi4-xiao3-hu3,nr
殺蟲,56,sha1-chong2,n
三百下,3,san1-bai3-xia4,m
司約翰,2,si1-yue1-han4,nr
司庫員,16,si1-ku4-yuan2,n
史火龍,50,shi3-huo3-long2,nr
蘇家來,2,su1-jia1-lai2,nr
石輪,3,shi2-lun2,n
審查,3478,shen3-cha2,vn
深潭,3,shen1-tan2,ns
社會學家,247,she4-hui4-xue2-jia1,n
數章,16,shu4-zhang1,m
試驗樓,3,shi4-yan4-lou2,n
三四百元,4,san1-si4-bai3-yuan2,m
霜化,3,shuang1-hua4,n
水精鹽,3,shui3-jing1-yan2,n
睡眼蒙朧,3,shui4-yan3-meng2-long2,n
數門,9,shu4-men2,n
四次曲線,3,si4-ci4-qu1-xian4,nz
上港村,3,shang4-gang3-cun1,ns
斯山脈,4,si1-shan1-mai4,ns
沈玉英,128,shen3-yu4-ying1,nr
身價百倍,138,shen1-jia4-bai3-bei4,i
送走,285,song4-zou3,v
手推式,3,shou3-tui1-shi4,n
申雪,21,shen1-xue3,nr
損毀,103,sun3-hui3,v
鬆鶴圖,4,song1-he4-tu2,nr
十五名,26,shi2-wu3-ming2,m
司馬覃,4,si1-ma3-tan2,nr
升山採珠,3,sheng1-shan1-cai3-zhu1,nz
三病四痛,3,san1-bing4-si4-tong4,i
剡溪,9,shan4-xi1,ns
史言官,3,shi3-yan2-guan1,nr
宋初,24,song4-chu1,t
色眯眯,3,se4-mi1-mi1,z
上官太,3,shang4-guan1-tai4,nr
瀋吉線,2,shen3-ji2-xian4,nr
私車,10,si1-che1,n
商業來往,3,shang1-ye4-lai2-wang3,l
審訂,5,shen3-ding4,v
上下學,10,shang4-xia4-xue2,l
山果,6,shan1-guo3,n
飼餵,14,si4-wei4,v
樹起,77,shu4-qi3,s
聲譽不衰,3,sheng1-yu4-bu4-shuai1,i
四齣戲,3,si4-chu1-xi4,i
桑弘羊,77,sang1-hong2-yang2,nr
睡得正香,3,shui4-de2-zheng4-xiang1,i
三樁,8,san1-zhuang1,m
色度圖,3,se4-du4-tu2,n
四上,3,si4-shang4,f
書畫卯酉,3,shu1-hua4-mao3-you3,l
水陸畢陳,3,shui3-lu4-bi4-chen2,nr
稅源,40,shui4-yuan2,n
雙身子,3,shuang1-shen1-zi,n
蘇秦皆,3,su1-qin2-jie1,nr
