chinese,frequency,pinyin,posseg
珠沉滄海,3,zhu1-chen2-cang1-hai3,i
扎把機,3,zha1-ba3-ji1,n
著名商標,3,zhe-ming2-shang1-biao1,n
鑽孔,118,zuan1-kong3,n
照算不誤,3,zhao4-suan4-bu4-wu4,n
捉姦捉雙,3,zhuo1-jian1-zhuo1-shuang1,i
暫停狀態,3,zan4-ting2-zhuang4-tai4,n
宗祧,6,zong1-tiao1,n
重點中學,3,zhong4-dian3-zhong1-xue2,nt
中國外交部,370,zhong1-guo2-wai4-jiao1-bu4,nt
終止子,3,zhong1-zhi3-zi,n
重吸收,3,zhong4-xi1-shou1,n
總務組長,3,zong3-wu4-zu3-zhang3,n
周嘉玲,3,zhou1-jia1-ling2,nr
伬,16,ze,zg
鄭重聲明,3,zheng4-zhong4-sheng1-ming2,nr
子菌落,3,zi-jun1-luo4,n
尊無二上,3,zun1-wu2-er4-shang4,l
宗趙構,18,zong1-zhao4-gou4,nr
爭議榜,3,zheng1-yi4-bang3,n
戰無常規,3,zhan4-wu2-chang2-gui1,i
紫文飛,5,zi3-wen2-fei1,nr
戰贏,3,zhan4-ying2,n
趙啟正,20,zhao4-qi3-zheng4,nr
作鳥獸散,24,zuo4-niao3-shou4-san4,i
中新,3,zhong1-xin1,ns
製品業,3,zhi4-pin3-ye4,n
最低溫度,3,zui4-di1-wen1-du4,n
榛雞,12,zhen1-ji1,n
諸部軍,2,zhu1-bu4-jun1,nr
貯藏庫,5,zhu4-cang2-ku4,nz
直角三角,3,zhi2-jiao3-san1-jiao3,ns
趙顯宰,3,zhao4-xian3-zai3,nr
字模,30,zi4-mu2,n
正劇,19,zheng4-ju4,d
主創者,4,zhu3-chuang4-zhe3,n
中士,44,zhong1-shi4,ns
賬冊,22,zhang4-ce4,n
戰愈勇,6,zhan4-yu4-yong3,nr
朱京津,4,zhu1-jing1-jin1,nr
中國船舶工業集團公司,5,zhong1-guo2-chuan2-bo2-gong1-ye4-ji2-tuan2-gong1-si1,nt
珠三角,107,zhu1-san1-jiao3,nz
著書立說,38,zhe-shu1-li4-shuo1,n
爭點,3,zheng1-dian3,n
整付,3,zheng3-fu4,v
芝麻街,3,zhi1-ma2-jie1,ns
戰鷹列,3,zhan4-ying1-lie4,nr
長壽命,3,zhang3-shou4-ming4,nr
裝修工,2,zhuang1-xiu1-gong1,n
纂,207,zuan3,g
重金禮聘,3,zhong4-jin1-li3-pin4,n
診斷儀,7,zhen3-duan4-yi2,n
長鬍子,3,zhang3-hu2-zi,l
中國國青隊,2,zhong1-guo2-guo2-qing1-dui4,nt
職司,2026,zhi2-si1,n
知音西村,3,zhi1-yin1-xi1-cun1,n
栽苗,3,zai1-miao2,v
振幅分割,3,zhen4-fu2-fen1-ge1,l
蛀洞,3,zhu4-dong4,n
醉態,19,zui4-tai4,n
忠孝兩全,3,zhong1-xiao4-liang3-quan2,i
葴,3,zhen1,zg
張廣瑞,9,zhang1-guang3-rui4,nr
治療師,24,zhi4-liao2-shi1,n
折線圖,3,zhe2-xian4-tu2,n
走馬赴任,3,zou3-ma3-fu4-ren4,i
躁狂,13,zao4-kuang2,a
作槽,3,zuo4-cao2,n
趙光義,3,zhao4-guang1-yi4,nr
鄭欣宜,3,zheng4-xin1-yi2,nr
自抑,3,zi4-yi4,v
主日學,3,zhu3-ri4-xue2,n
整檔,3,zheng3-dang4,b
抓獲,180,zhua1-huo4,v
中國,129470,zhong1-guo2,ns
中國移動通信集團公司,18,zhong1-guo2-yi2-dong4-tong1-xin4-ji2-tuan2-gong1-si1,nt
自衛器,3,zi4-wei4-qi4,n
中尼公路,9,zhong1-ni2-gong1-lu4,ns
戰爭初期,3,zhan4-zheng1-chu1-qi1,n
整體廚房,3,zheng3-ti3-chu2-fang2,vn
長直,8,zhang3-zhi2,d
子宮帽,3,zi-gong1-mao4,n
珠心,7,zhu1-xin1,n
中經網,3,zhong1-jing1-wang3,nz
中能,305,zhong1-neng2,j
中文網址,3,zhong1-wen2-wang3-zhi3,n
註譯,3,zhu4-yi4,v
自供狀,3,zi4-gong4-zhuang4,l
真話,291,zhen1-hua4,n
莊河縣,2,zhuang1-he2-xian4,ns
重振朝綱,3,zhong4-zhen4-chao2-gang1,n
走桃花運,3,zou3-tao2-hua1-yun4,n
致盲,15,zhi4-mang2,v
滋養核,3,zi1-yang3-he2,n
贈送禮品,3,zeng4-song4-li3-pin3,n
自然銅,6,zi4-ran2-tong2,n
質監所,11,zhi4-jian1-suo3,j
折衝,39,zhe2-chong1,nr
縱深行,7,zong4-shen1-xing2,i
左外野,3,zuo3-wai4-ye3,nr
這,261791,zhe4,r
孳生地,3,zi1-sheng1-di4,v
竹簾子,3,zhu2-lian2-zi,n
自出一家,3,zi4-chu1-yi1-jia1,l
長項,11,zhang3-xiang4,n
珍,1183,zhen1,zg
助詞,14,zhu4-ci2,n
棕樹,5,zong1-shu4,n
直盯盯,11,zhi2-ding1-ding1,z
張自烈,159,zhang1-zi4-lie4,nrfg
走門串戶,3,zou3-men2-chuan4-hu4,l
纂修,75,zuan3-xiu1,v
帳籍,3,zhang4-ji2,n
坐運籌策,3,zuo4-yun4-chou2-ce4,n
甄師兄,4,zhen1-shi1-xiong1,nr
中央新聞紀錄電影製片廠,2,zhong1-yang1-xin1-wen2-ji4-lu4-dian4-ying3-zhi4-pian4-chang3,nt
載頻,2,zai4-pin2,b
照此類推,3,zhao4-ci3-lei4-tui1,l
宗主爺,24,zong1-zhu3-ye2,n
足食豐衣,3,zu2-shi2-feng1-yi1,i
整節,3,zheng3-jie2,n
造謀布穽,3,zao4-mou2-bu4-jing3,n
子之父,3,zi-zhi1-fu4,nr
振兵釋旅,3,zhen4-bing1-shi4-lv3,n
制止,1048,zhi4-zhi3,v
重巒迭巘,3,zhong4-luan2-die2-yan3,l
在意,367,zai4-yi4,v
中華環保基金會,2,zhong1-hua2-huan2-bao3-ji1-jin1-hui4,nt
賊,5032,zei2,n
朱門繡戶,3,zhu1-men2-xiu4-hu4,nr
