chinese,frequency,pinyin,posseg
經名兒,3,jing1-ming2-er2,n
軍官證,2,jun1-guan1-zheng4,n
機會難得,3,ji1-hui4-nan2-de2,l
鰶,4,ji4,zg
家政系,3,jia1-zheng4-xi4,n
急流,566,ji2-liu2,n
加油站,111,jia1-you2-zhan4,nt
賤物,3,jian4-wu4,n
吉米爾,2,ji2-mi3-er3,nr
菊展,3,ju2-zhan3,n
江陽區,3,jiang1-yang2-qu1,ns
健康器,3,jian4-kang1-qi4,nz
蛟龍戲水,3,jiao1-long2-xi4-shui3,n
計籍,2,ji4-ji2,n
舊故,3,jiu4-gu4,n
金明池,41,jin1-ming2-chi2,nr
街號巷哭,3,jie1-hao4-xiang4-ku1,i
交誼會,3,jiao1-yi4-hui4,nt
叫住,141,jiao4-zhu4,v
鍵貼,3,jian4-tie1,n
久蟄思動,3,jiu3-zhe2-si1-dong4,nz
酒精肝,3,jiu3-jing1-gan1,n
九張,7,jiu3-zhang1,m
教育科,8,jiao4-yu4-ke1,n
擠時間,3,ji3-shi2-jian1,l
進身之階,8,jin4-shen1-zhi1-jie1,i
績學,3,ji1-xue2,n
漸黑,3,jian4-hei1,v
淨洗劑,3,jing4-xi3-ji4,n
教習,85,jiao4-xi2,vn
加為好友,3,jia1-wei4-hao3-you3,l
吉麗娜,12,ji2-li4-na4,nr
經濟學獎,3,jing1-ji4-xue2-jiang3,n
賈松陽,2,jia3-song1-yang2,nr
金錦香,3,jin1-jin3-xiang1,nr
精原細胞,3,jing1-yuan2-xi4-bao1,n
甲酸,64,jia3-suan1,nz
剪力,6,jian3-li4,n
解甲投戈,3,jie3-jia3-tou2-ge1,nz
交聯劑,6,jiao1-lian2-ji4,n
加拉斯,9,jia1-la1-si1,ns
擠進,92,ji3-jin4,v
九九八十一日,4,jiu3-jiu3-ba1-shi2-yi1-ri4,m
肌骨,13,ji1-gu3,n
記時,8,ji4-shi2,n
計算機管理,8,ji4-suan4-ji1-guan3-li3,n
君子之交,3,jun1-zi-zhi1-jiao1,l
嘉娜寶,3,jia1-na4-bao3,nr
軍官,2322,jun1-guan1,n
峻宇彫牆,3,jun4-yu3-diao1-qiang2,v
擊鞭錘鐙,3,ji1-bian1-chui2-deng4,i
拒籤,32,ju4-qian1,v
蔣奇之,2,jiang3-qi2-zhi1,nr
金科玉條,3,jin1-ke1-yu4-tiao2,nr
經營管理者,14,jing1-ying2-guan3-li3-zhe3,n
加藤愛,3,jia1-teng2-ai4,nr
精簡版,2,jing1-jian3-ban3,l
經曲,3,jing1-qu1,n
舊期,3,jiu4-qi1,t
階級覺悟,3,jie1-ji2-jue2-wu4,l
肌注,36,ji1-zhu4,n
金藻色素,3,jin1-zao3-se4-su4,n
季米爾,21,ji4-mi3-er3,nr
交響樂隊,29,jiao1-xiang3-le4-dui4,n
角柱石,3,jiao3-zhu4-shi2,n
腳痛,3,jiao3-tong4,n
加里森,2,jia1-li3-sen1,nr
居心險惡,3,ju1-xin1-xian3-e4,n
競選活動,3,jing4-xuan3-huo2-dong4,l
吉思汗,24,ji2-si1-han4,nr
鏡光,3,jing4-guang1,n
家裡,6390,jia1-li3,s
鏡與鸞鳳,3,jing4-yu3-luan2-feng4,i
彅,9,jian3,zg
將材,3,jiang1-cai2,n
舊莊國小,3,jiu4-zhuang1-guo2-xiao3,n
駕鶴,3,jia4-he4,nz
監察組,4,jian1-cha2-zu3,n
岌,15,ji2,i
赳,43,jiu1,x
戒癮,3,jie4-yin3,n
經審查,3,jing1-shen3-cha2,nr
金斯克,2,jin1-si1-ke4,nr
嘉慶帝,3,jia1-qing4-di4,nr
捷報頻傳,27,jie2-bao4-pin2-chuan2,nz
驚惶,322,jing1-huang2,a
節約電池,4,jie2-yue1-dian4-chi2,n
加裡曼丹,32,jia1-li3-man4-dan1,ns
金魚池,6,jin1-yu2-chi2,nr
記憶猶新,104,ji4-yi4-you2-xin1,i
家庭不和,3,jia1-ting2-bu4-he2,i
講經說法,10,jiang3-jing1-shuo1-fa3,n
疾病相關,3,ji2-bing4-xiang1-guan1,i
拒接來電,3,ju4-jie1-lai2-dian4,l
家屋,3,jia1-wu1,n
祭上,3,ji4-shang4,v
巨著,3,ju4-zhu4,a
姐兒,197,jie3-er2,n
建房,128,jian4-fang2,n
境內,6247,jing4-nei4,s
捲舌,4,juan3-she2,n
郊外,289,jiao1-wai4,s
監督卡,2,jian1-du1-ka3,nz
交割日,3,jiao1-ge1-ri4,n
居姜水,4,ju1-jiang1-shui3,nr
腳爐,7,jiao3-lu2,n
幾十擔,3,ji3-shi2-dan1,m
儌,20,jiao3,zg
簡裝,2,jian3-zhuang1,v
久旱逢甘雨,3,jiu3-han4-feng2-gan1-yu3,l
機器廠,29,ji1-qi4-chang3,n
交稅,35,jiao1-shui4,n
酒話,3,jiu3-hua4,n
鐫心銘骨,3,juan1-xin1-ming2-gu3,z
金靜華,3,jin1-jing4-hua2,nr
幾十隻,20,ji3-shi2-zhi1,m
金棕櫚獎,9,jin1-zong1-lv2-jiang3,nz
酒錢,48,jiu3-qian2,n
基律納,9,ji1-lv4-na4,nr
冀蒙採納,3,ji4-meng2-cai3-na4,nr
家居時尚,3,jia1-ju1-shi2-shang4,nr
舊家,3,jiu4-jia1,n
集螢映雪,3,ji2-ying2-ying4-xue3,nr
江名,3,jiang1-ming2,ns
鎵,64,jia1,g
彊,62,jiang4,zg
賈比爾,8,jia3-bi3-er3,nr
幾十萬倍,4,ji3-shi2-wan4-bei4,m
津港,4,jin1-gang3,ns
假日活動,3,jia4-ri4-huo2-dong4,l
交電,3,jiao1-dian4,j
急痛攻心,4,ji2-tong4-gong1-xin1,i
薊馬科,2,ji4-ma3-ke1,nr
計盡力窮,3,ji4-jin3-li4-qiong2,l
基因打靶,3,ji1-yin1-da3-ba3,n
九尾,61,jiu3-wei3,ns
見縫插針,28,jian4-feng4-cha1-zhen1,i
近親係數,3,jin4-qin1-xi4-shu4,l
計財部,3,ji4-cai2-bu4,j
驚人之舉,5,jing1-ren2-zhi1-ju3,i
金鳳凰,11,jin1-feng4-huang2,nr
加萊亞諾,2,jia1-lai2-ya4-nuo4,nrt
疽,71,ju1,g
基部,388,ji1-bu4,n
井然有序,49,jing3-ran2-you3-xu4,i
甲道,6,jia3-dao4,n
間歇泉,32,jian1-xie1-quan2,n
拘留所,31,ju1-liu2-suo3,n
進賢屏惡,3,jin4-xian2-ping2-e4,i
鈞瓷,9,jun1-ci2,n
鋸末子,2,ju4-mo4-zi,n
絕大部分,1101,jue2-da4-bu4-fen4,m
夾層槽,3,jia1-ceng2-cao2,n
精明能幹,54,jing1-ming2-neng2-gan4,n
九家,30,jiu3-jia1,m
倦怠感,3,juan4-dai4-gan3,vn
局地鑰天,3,ju2-de-yao4-tian1,n
解韓胤,2,jie3-han2-yin4,nr
交河城,8,jiao1-he2-cheng2,ns
進口關稅,3,jin4-kou3-guan1-shui4,n
加泰羅尼亞地區,2,jia1-tai4-luo2-ni2-ya4-de-qu1,ns
金安,19,jin1-an1,nz
儉約,20,jian3-yue1,v
急處從寬,3,ji2-chu4-cong2-kuan1,i
機械防治,3,ji1-xie4-fang2-zhi4,n
價值規律,162,jia4-zhi2-gui1-lv4,l
節子,4,jie2-zi,n
降甾烷,3,jiang4-zai1-wan2,nz
轎車如,3,jiao4-che1-ru2,n
荊其誠,3,jing1-qi2-cheng2,nr
決不反悔,3,jue2-bu4-fan3-hui3,i
癤,32,jie1,zg
積福,3,ji1-fu2,n
江口洋介,3,jiang1-kou3-yang2-jie4,n
解碼板,3,jie3-ma3-ban3,n
極表同情,3,ji2-biao3-tong2-qing2,n
拘人,3,ju1-ren2,n
九十六門,2,jiu3-shi2-liu4-men2,m
經濟委員會,32,jing1-ji4-wei3-yuan2-hui4,nt
賈政因,6,jia3-zheng4-yin1,nr
幾百公斤,2,ji3-bai3-gong1-jin1,m
截回,3,jie2-hui2,v
賈母安,2,jia3-mu3-an1,nr
膠州灣,65,jiao1-zhou1-wan1,ns
記憶效應,2,ji4-yi4-xiao4-ying1,n
景升之,2,jing3-sheng1-zhi1,nr
賈斯丁,3,jia3-si1-ding1,nr
較大型,16,jiao4-da4-xing2,b
近影,3,jin4-ying3,n
金海,7,jin1-hai3,ns
金龍隊,3,jin1-long2-dui4,n
降起,3,jiang4-qi3,v
極差,3,ji2-cha4,n
糾章,2,jiu1-zhang1,n
巨牙症,3,ju4-ya2-zheng4,nz
姜玉環,2,jiang1-yu4-huan2,nr
接觸眼鏡,3,jie1-chu4-yan3-jing4,i
驚馬,3,jing1-ma3,v
計步器,3,ji4-bu4-qi4,n
