chinese,frequency,pinyin,posseg
變因,3,bian4-yin1,n
標語牌,144,biao1-yu3-pai2,n
不見經付,3,bu4-jian4-jing1-fu4,n
剝啄,8,bo1-zhuo2,o
敗家,23,bai4-jia1,n
紦,57,ba,zg
邊境稅,3,bian1-jing4-shui4,n
粺,45,bai4,zg
巴特克,4,ba1-te4-ke4,nr
博爾基亞,4,bo2-er3-ji1-ya4,ns
卑辭,3,bei1-ci2,n
博韋區,2,bo2-wei2-qu1,nr
不大好,3,bu4-da4-hao3,l
補倉,3,bu3-cang1,v
貝柴,2,bei4-chai2,nz
巴納德,18,ba1-na4-de2,nr
別有用心,195,bie2-you3-yong4-xin1,l
拜早年,3,bai4-zao3-nian2,nr
巴里奧,2,ba1-li3-ao4,nrt
寶姐姐,45,bao3-jie3-jie3,nr
被評,263,bei4-ping2,v
白髮紅顏,2,bai2-fa4-hong2-yan2,nr
不及格率,3,bu4-ji2-ge2-lv4,nz
變胺藍,3,bian4-an4-lan2,nz
拜壽,85,bai4-shou4,ns
暴斂,23,bao4-lian3,v
步軍司,6,bu4-jun1-si1,n
卑,644,bei1,ag
寶寶秀,3,bao3-bao3-xiu4,nr
百億元,274,bai3-yi4-yuan2,m
白描,68,bai2-miao2,n
白振忙,2,bai2-zhen4-mang2,nr
巴布爾,5,ba1-bu4-er3,nr
白費脣舌,3,bai2-fei4-chun2-she2,n
邊溝,49,bian1-gou1,n
保命錢,8,bao3-ming4-qian2,n
別無長物,3,bie2-wu2-zhang3-wu4,i
波拉斯,5,bo1-la1-si1,ns
伴奏,369,ban4-zou4,v
半兜,2,ban4-dou1,m
彼得羅夫斯基,4,bi3-de2-luo2-fu1-si1-ji1,nrt
便衣警察,3,bian4-yi1-jing3-cha2,n
擺滿,3,bai3-man3,v
備嘗艱辛,3,bei4-chang2-jian1-xin1,i
北湖區,3,bei3-hu2-qu1,ns
巴里坤湖,13,ba1-li3-kun1-hu2,ns
北半球,252,bei3-ban4-qiu2,ns
不長一智,7,bu4-zhang3-yi1-zhi4,i
百戰天龍,3,bai3-zhan4-tian1-long2,nz
不安寧,3,bu4-an1-ning2,ns
布洛涅,5,bu4-luo4-nie4,nr
報號,3,bao4-hao4,n
步騎軍,2,bu4-qi2-jun1,nr
備抵折舊,3,bei4-di3-zhe2-jiu4,z
背道而馳,73,bei4-dao4-er2-chi2,i
閉路電視,26,bi4-lu4-dian4-shi4,l
婊,255,biao3,n
變形,998,bian4-xing2,n
巴利阿里,12,ba1-li4-a1-li3,ns
冰解壤分,3,bing1-jie3-rang3-fen1,n
報喪,37,bao4-sang4,v
不軌,93,bu4-gui3,v
寶象笑,3,bao3-xiang4-xiao4,nr
背約,22,bei4-yue1,n
八通,3,ba1-tong1,nz
