chinese,frequency,pinyin,posseg
流點,3,liu2-dian3,n
龍巖市,8,long2-yan2-shi4,ns
拉瑟福德,2,la1-se4-fu2-de2,nrt
簬,397,lu4,zg
李明瑞,7,li3-ming2-rui4,nr
令旗,80,ling4-qi2,n
洛夫斯基,5,luo4-fu1-si1-ji1,nrt
拉買賣,3,la1-mai3-mai4,l
靈魂深處,3,ling2-hun2-shen1-chu4,i
萊昂,22,lai2-ang2,nrt
柳貽徵,2,liu3-yi2-zheng1,nr
李美妍,3,li3-mei3-yan2,nr
連作,28,lian2-zuo4,vn
劉希亮,6,liu2-xi1-liang4,nr
六千餘,8,liu4-qian1-yu2,m
樑小民,13,liang2-xiao3-min2,nr
老話兒,3,lao3-hua4-er2,n
臨街房,3,lin2-jie1-fang2,ns
綠鬢紅顏,3,lv4-bin4-hong2-yan2,i
柳海光,2,liu3-hai3-guang1,nr
了哥王,3,le-ge1-wang2,nr
蘢,70,long2,x
龍頭蛇尾,3,long2-tou2-she2-wei3,i
李厚霖,3,li3-hou4-lin2,nr
劉江濤,3,liu2-jiang1-tao1,nr
盧員外,65,lu2-yuan2-wai4,nr
羅伯斯,12,luo2-bo2-si1,nr
縺衣機,3,lian2-yi1-ji1,nz
硫酸銀,3,liu2-suan1-yin2,nz
梇,6,long4,zg
兩三成,10,liang3-san1-cheng2,m
濾泡,3,lv4-pao4,n
歷史文獻,3,li4-shi3-wen2-xian4,n
亂雲飛渡,4,luan4-yun2-fei1-du4,l
凌白笑道,2,ling2-bai2-xiao4-dao4,nr
立於不敗,3,li4-yu2-bu4-bai4,l
落雁沉魚,3,luo4-yan4-chen2-yu2,i
魯爾河,11,lu3-er3-he2,nr
憐貧惜賤,3,lian2-pin2-xi1-jian4,i
劉尚志,2,liu2-shang4-zhi4,nr
力求上進,3,li4-qiu2-shang4-jin4,i
潞城縣,3,lu4-cheng2-xian4,ns
撈摸,3,lao1-mo1,v
勞科所,3,lao2-ke1-suo3,nt
樂透型,3,le4-tou4-xing2,n
雷鳴瓦釜,3,lei2-ming2-wa3-fu3,n
理事國,148,li3-shi4-guo2,n
力陳,3,li4-chen2,n
令人困惑,3,ling4-ren2-kun4-huo4,l
禮聘,25,li3-pin4,v
李麥麥,2,li3-mai4-mai4,nr
劉英毅,3,liu2-ying1-yi4,nr
粼,41,lin2,z
兩頭三面,3,liang3-tou2-san1-mian4,m
陸敏厚,2,lu4-min3-hou4,nr
禮單,41,li3-dan1,n
羅陀,17,luo2-tuo2,ns
卵塊,12,luan3-kuai4,n
樂無憂,3,le4-wu2-you1,i
遼寧中醫,3,liao2-ning2-zhong1-yi1,j
壟斷集團,3,long3-duan4-ji2-tuan2,n
李喜喜,5,li3-xi3-xi3,nr
綠綠,3,lv4-lv4,nr
李萍嘆,2,li3-ping2-tan4,nr
聯結蛋白,3,lian2-jie2-dan4-bai2,l
領點,3,ling3-dian3,n
邏各斯,15,luo2-ge4-si1,l
領料,3,ling3-liao4,n
羅九曜,3,luo2-jiu3-yao4,nr
靈力,3,ling2-li4,n
冷思考,3,leng3-si1-kao3,nr
騾,342,luo2,n
來者居上,3,lai2-zhe3-ju1-shang4,i
劉備未,2,liu2-bei4-wei4,nr
李涵辰,3,li3-han2-chen2,nr
累教不改,3,lei3-jiao4-bu4-gai3,l
陸法言,3,lu4-fa3-yan2,nr
亂竄,3,luan4-cuan4,v
領教過,3,ling3-jiao4-guo4,l
蘆筍,46,lu2-sun3,n
流浪女,3,liu2-lang4-nv3,n
流轉額,2,liu2-zhuan3-e2,n
林盛中,2,lin2-sheng4-zhong1,nr
李至倫,3,li3-zhi4-lun2,nr
鍊鐵,151,lian4-tie3,n
罹難,18,li2-nan2,v
領先,1775,ling3-xian1,n
溜光,14,liu1-guang1,z
來到如今,3,lai2-dao4-ru2-jin1,l
劉民聲,3,liu2-min2-sheng1,nr
藍斑,3,lan2-ban1,n
李若琳,3,li3-ruo4-lin2,nr
老套子,4,lao3-tao4-zi,n
蓮蓉,9,lian2-rong2,n
雷斯特,3,lei2-si1-te4,nr
蘿蔔,343,luo2-bo2,n
廉見連,2,lian2-jian4-lian2,nr
鷚,39,liu4,g
兩百餘名,2,liang3-bai3-yu2-ming2,m
領導作風,3,ling3-dao3-zuo4-feng1,n
連花清,4,lian2-hua1-qing1,nr
老營,1226,lao3-ying2,nr
漏雨,3,lou4-yu3,n
玀,3,luo2,zg
錄像機,91,lu4-xiang4-ji1,n
劉毅偉,3,liu2-yi4-wei3,nr
羅漢鬆,26,luo2-han4-song1,nr
勒死,47,lei1-si3,v
龍女秀,6,long2-nv3-xiu4,nr
瀘水,37,lu2-shui3,ns
藍鬍子,3,lan2-hu2-zi,nr
閬苑瓊樓,3,lang4-yuan4-qiong2-lou2,ns
零蛋,2,ling2-dan4,n
凌空高飛,3,ling2-kong1-gao1-fei1,nr
冷意,3,leng3-yi4,v
郎酒廠,2,lang2-jiu3-chang3,n
龍遊幫,16,long2-you2-bang1,nr
李淵入,2,li3-yuan1-ru4,nr
裡亞蒂,9,li3-ya4-di4,nr
兩千餘斤,2,liang3-qian1-yu2-jin1,m
冷灰爆豆,3,leng3-hui1-bao4-dou4,n
拉耶夫,7,la1-ye2-fu1,nrt
孿生兒,3,luan2-sheng1-er2,n
賴斯頓,2,lai4-si1-dun4,nr
拉丁名,3,la1-ding1-ming2,nr
立法權,1406,li4-fa3-quan2,nr
陸龜,4,lu4-gui1,nr
雷北,2,lei2-bei3,ns
旅遊文化節,3,lv3-you2-wen2-hua4-jie2,n
隴海,6,long3-hai3,ns
冷寒星,3,leng3-han2-xing1,nr
零三架,8,ling2-san1-jia4,m
陸和領,3,lu4-he2-ling3,nr
洛勞斯,96,luo4-lao2-si1,nrt
呂葆中,3,lv3-bao3-zhong1,nr
連平,22,lian2-ping2,nr
拉下馬,37,la1-xia4-ma3,ns
朗爽,3,lang3-shuang3,z
拉鋸戰,32,la1-ju4-zhan4,n
落拓不羈,6,luo4-ta4-bu4-ji1,i
盧俊君,8,lu2-jun4-jun1,nr
兩百步,7,liang3-bai3-bu4,m
李昌鈺,3,li3-chang1-yu4,nr
龍眉鳳目,3,long2-mei2-feng4-mu4,i
盧西亞科,2,lu2-xi1-ya4-ke1,ns
劉牢之,23,liu2-lao2-zhi1,nr
龍山文化,179,long2-shan1-wen2-hua4,nz
旅居,92,lv3-ju1,n
露才揚己,3,lu4-cai2-yang2-ji3,n
龍蛇混雜,10,long2-she2-hun4-za2,i
聯產,21,lian2-chan3,j
勒克萊爾,19,lei1-ke4-lai2-er3,nrt
樑敏儀,3,liang2-min3-yi2,nr
羅茨,8,luo2-ci2,nrt
六西格瑪,3,liu4-xi1-ge2-ma3,ns
力圖自強,3,li4-tu2-zi4-qiang2,i
拉黃蓉,5,la1-huang2-rong2,nr
劣貨,3,lie4-huo4,n
林箭雨,2,lin2-jian4-yu3,nr
良村,6,liang2-cun1,n
離線,34,li2-xian4,n
留級生,3,liu2-ji2-sheng1,v
聊,825,liao2,v
樂趣,494,le4-qu4,a
麗山,3,li4-shan1,ns
連牆接棟,3,lian2-qiang2-jie1-dong4,i
六艘,21,liu4-sou1,m
冷待,3,leng3-dai4,v
泐,7,le4,g
李開弟,3,li3-kai1-di4,nr
糧食部門,2,liang2-shi2-bu4-men2,l
力圖振作,3,li4-tu2-zhen4-zuo4,i
歷立成,2,li4-li4-cheng2,nr
連皮帶骨,3,lian2-pi2-dai4-gu3,l
陸子岡,11,lu4-zi-gang1,nr
連州比縣,3,lian2-zhou1-bi3-xian4,ns
濾過代數,3,lv4-guo4-dai4-shu4,nz
兩道三科,3,liang3-dao4-san1-ke1,ns
理科,391,li3-ke1,n
裡耶夫,13,li3-ye2-fu1,nrt
鋁扣板,3,lv3-kou4-ban3,n
爛透,3,lan4-tou4,nz
練兵秣馬,3,lian4-bing1-mo4-ma3,nr
離地,3,li2-de,n
